2020-08-22,Sticker Capsule,4.42
2020-08-22,Sticker Capsule 2,57.79
2020-08-22,Katowice 2019 Legends Autograph Capsule,27.5
2020-08-22,CS20 Sticker Capsule,4.6
2020-08-22,Enfu Sticker Capsule,4.89
2020-08-22,Berlin 2019 Returning Challengers Autograph Capsule,8.27
2020-08-22,Berlin 2019 Minor Challengers (Holo-Foil),14.04
2020-08-22,Katowice 2019 Returning Challengers Autograph Capsule,28.08
2020-08-22,Collectible Pins Capsule Series 3,48.31
2020-08-22,Team Roles Capsule,4.83
2020-08-22,Pinups Capsule,4.89
2020-08-22,Half-Life: Alyx Sticker Capsule,4.63
2020-08-22,Skill Groups Capsule,4.85
2020-08-22,Community Capsule 2018,4.82
2020-08-22,Slid3 Capsule,4.93
2020-08-22,Perfect World Sticker Capsule 2,4.72
2020-08-22,Perfect World Sticker Capsule 1,4.69
2020-08-22,Bestiary Capsule,4.64
2020-08-22,Community Sticker Capsule 1,24.07
2020-08-22,Berlin 2019 Legends (Holo-Foil),19.65
2020-08-22,"Warhammer 40,000 Sticker Capsule",4.8
2020-08-22,Berlin 2019 Minor Challengers Autograph Capsule,6.99
2020-08-22,Berlin 2019 Legends Autograph Capsule,8.99
2020-08-22,Sugarface Capsule,4.92
2020-08-22,Autograph Capsule | Group C (Foil) | Cologne 2015,55
2020-08-22,Katowice 2019 Minor Challengers Autograph Capsule,19.12
2020-08-22,London 2018 Minor Challengers Autograph Capsule,18.76
2020-08-22,Autograph Capsule | Flipsid3 Tactics | Atlanta 2017,29
2020-08-22,Autograph Capsule | Team Liquid | Atlanta 2017,43.64
2020-08-22,Autograph Capsule | OpTic Gaming | Cologne 2016,26.68
2020-08-22,Autograph Capsule | HellRaisers | Atlanta 2017,23.9
2020-08-22,Autograph Capsule | OpTic Gaming | Atlanta 2017,23.87
2020-08-22,London 2018 Returning Challengers Autograph Capsule,20.3
2020-08-22,London 2018 Legends Autograph Capsule,25.45
2020-08-22,Krakow 2017 Challengers Autograph Capsule,76.46
2020-08-22,Half-Life: Alyx Collectible Pins Capsule,48.63
2020-08-22,Halo Capsule,5
2020-08-22,Berlin 2019 Returning Challengers (Holo-Foil),18.2
2020-08-22,Krakow 2017 Legends Autograph Capsule,89.79
2020-08-22,Feral Predators Capsule,4.84
2020-08-22,Autograph Capsule | FaZe Clan | Cologne 2016,31.85
2020-08-22,Chicken Capsule,4.73
2020-08-22,Boston 2018 Minor Challengers Autograph Capsule,800
2020-08-22,Boston 2018 Returning Challengers Autograph Capsule,42.4
2020-08-22,Autograph Capsule | Team EnVyUs | Cluj-Napoca 2015,17.55
2020-08-22,Autograph Capsule | Fnatic | Cologne 2015,15.29
2020-08-22,Autograph Capsule | Team Liquid | Cologne 2016,46.52
2020-08-22,Autograph Capsule | Luminosity Gaming | Cologne 2015,35.8
2020-08-22,Autograph Capsule | Natus Vincere | Atlanta 2017,157.8
2020-08-22,Autograph Capsule | Team SoloMid | Cologne 2015,20.9
2020-08-22,Autograph Capsule | G2 Esports | Cluj-Napoca 2015,15.55
2020-08-22,Collectible Pins Capsule Series 2,50.78
2020-08-22,Autograph Capsule | Virtus.Pro | Cluj-Napoca 2015,13.99
2020-08-22,Autograph Capsule | Vexed Gaming | Cluj-Napoca 2015,19
2020-08-22,Autograph Capsule | Legends (Foil) | MLG Columbus 2016,94.6
2020-08-22,Collectible Pins Capsule Series 1,46.45
2020-08-22,Boston 2018 Minor Challengers with Flash Gaming Autograph Capsule,42.1
2020-08-22,Autograph Capsule | Natus Vincere | MLG Columbus 2016,20.79
2020-08-22,Autograph Capsule | G2 Esports | Cologne 2016,66.56
2020-08-22,Autograph Capsule | Fnatic | Cologne 2016,29.44
2020-08-22,Autograph Capsule | Astralis | MLG Columbus 2016,36.35
2020-08-22,Autograph Capsule | Gambit Gaming | Cologne 2016,67
2020-08-22,Autograph Capsule | Fnatic | Atlanta 2017,23.49
2020-08-22,Boston 2018 Attending Legends Autograph Capsule,39.33
2020-08-22,Autograph Capsule | Titan | Cluj-Napoca 2015,27.77
2020-08-22,Autograph Capsule | Team Kinguin | Cologne 2015,19.89
2020-08-22,Autograph Capsule | Group B (Foil) | Cologne 2015,54
2020-08-22,Autograph Capsule | Ninjas in Pyjamas | Cologne 2016,19
2020-08-22,Autograph Capsule | Team EnVyUs | Cologne 2015,19.33
2020-08-22,Autograph Capsule | Flipsid3 Tactics | MLG Columbus 2016,33.99
2020-08-22,Autograph Capsule | Cloud9 G2A | Cologne 2015,27.49
2020-08-22,Autograph Capsule | Ninjas in Pyjamas | Cologne 2015,9.99
2020-08-22,Autograph Capsule | Titan | Cologne 2015,35.69
2020-08-22,Autograph Capsule | Group D (Foil) | Cologne 2015,88.99
2020-08-22,Autograph Capsule | Legends (Foil) | Cologne 2016,210
2020-08-22,Autograph Capsule | Group A (Foil) | Cologne 2015,49.99
2020-08-22,Autograph Capsule | Fnatic | Cluj-Napoca 2015,23
2020-08-22,Autograph Capsule | Cloud9 | Cluj-Napoca 2015,38.76
2020-08-22,Autograph Capsule | Team Liquid | MLG Columbus 2016,38.7
2020-08-22,Autograph Capsule | Team EnVyUs | MLG Columbus 2016,49.9
2020-08-22,Autograph Capsule | SK Gaming | Atlanta 2017,22
2020-08-22,Autograph Capsule | Natus Vincere | Cologne 2015,20.8
2020-08-22,Autograph Capsule | Team EnVyUs | Cologne 2016,66.8
2020-08-22,Autograph Capsule | Legends (Foil) | Cluj-Napoca 2015,80
2020-08-22,Autograph Capsule | Virtus.Pro | Atlanta 2017,18.19
2020-08-22,Autograph Capsule | Counter Logic Gaming | Cologne 2015,19.8
2020-08-22,Autograph Capsule | Virtus.Pro | MLG Columbus 2016,16
2020-08-22,Autograph Capsule | Virtus.Pro | Cologne 2015,14.18
2020-08-22,Autograph Capsule | Luminosity Gaming | Cluj-Napoca 2015,39.99
2020-08-22,Autograph Capsule | Natus Vincere | Cluj-Napoca 2015,26.88
2020-08-22,Autograph Capsule | Team Immunity | Cologne 2015,20
2020-08-22,Autograph Capsule | Challengers (Foil) | Cluj-Napoca 2015,170.12
2020-08-22,Autograph Capsule | Astralis | Atlanta 2017,40.11
2020-08-22,Autograph Capsule | Challengers (Foil) | Cologne 2016,187.49
2020-08-22,Autograph Capsule | Team EnVyUs | Atlanta 2017,27.28
2020-08-22,Autograph Capsule | FaZe Clan | Atlanta 2017,24.9
2020-08-22,Autograph Capsule | mousesports | Atlanta 2017,29
2020-08-22,Autograph Capsule | North | Atlanta 2017,18.47
2020-08-22,Autograph Capsule | Gambit Gaming | Atlanta 2017,19.99
2020-08-22,Autograph Capsule | GODSENT | Atlanta 2017,20.1
2020-08-22,Autograph Capsule | G2 Esports | Atlanta 2017,28.99
2020-08-22,Autograph Capsule | Team Dignitas | Cluj-Napoca 2015,57.15
2020-08-22,Autograph Capsule | Team Dignitas | Cologne 2016,38.35
2020-08-22,Autograph Capsule | Team Liquid | Cluj-Napoca 2015,28.99
2020-08-22,Autograph Capsule | Ninjas in Pyjamas | Cluj-Napoca 2015,15.88
2020-08-22,Autograph Capsule | Team SoloMid | Cluj-Napoca 2015,20.32
2020-08-22,Autograph Capsule | Challengers (Foil) | MLG Columbus 2016,115.97
2020-08-22,Autograph Capsule | Flipsid3 Tactics | Cologne 2015,20.8
2020-08-22,Autograph Capsule | Legends (Foil) | Atlanta 2017,346.5
2020-08-22,Autograph Capsule | mousesports | Cologne 2016,45
2020-08-22,Autograph Capsule | Fnatic | MLG Columbus 2016,50
2020-08-22,Autograph Capsule | Ninjas in Pyjamas | MLG Columbus 2016,19
2020-08-22,Autograph Capsule | Natus Vincere | Cologne 2016,27.83
2020-08-22,Autograph Capsule | Luminosity Gaming | MLG Columbus 2016,24.39
2020-08-22,Autograph Capsule | Counter Logic Gaming | MLG Columbus 2016,39.9
2020-08-22,Autograph Capsule | mousesports | Cologne 2015,23.2
2020-08-22,Autograph Capsule | mousesports | Cluj-Napoca 2015,68.5
2020-08-22,Autograph Capsule | Challengers (Foil) | Atlanta 2017,264
2020-08-22,Boston 2018 Legends Autograph Capsule,380
2020-08-22,Autograph Capsule | Team eBettle | Cologne 2015,26.66
2020-08-22,Autograph Capsule | Gambit Gaming | MLG Columbus 2016,22.92
2020-08-22,Autograph Capsule | mousesports | MLG Columbus 2016,60
2020-08-22,Autograph Capsule | G2 Esports | MLG Columbus 2016,37.99
2020-08-22,Autograph Capsule | FaZe Clan | MLG Columbus 2016,19
2020-08-22,Autograph Capsule | Flipsid3 Tactics | Cluj-Napoca 2015,25.99
2020-08-22,Autograph Capsule | Virtus.Pro | Cologne 2016,20.8
2020-08-22,Autograph Capsule | Counter Logic Gaming | Cluj-Napoca 2015,19.49
2020-08-22,Autograph Capsule | Renegades | Cologne 2015,29.9
2020-08-22,Autograph Capsule | Astralis | Cologne 2016,71.6
2020-08-22,Autograph Capsule | Flipsid3 Tactics | Cologne 2016,24.88
