2020-08-07,Community Sticker Capsule 1,27.3
2020-08-07,Skill Groups Capsule,4.86
2020-08-07,Sticker Capsule 2,64.79
2020-08-07,Krakow 2017 Legends Autograph Capsule,96
2020-08-07,Half-Life: Alyx Sticker Capsule,4.65
2020-08-07,Halo Capsule,4.61
2020-08-07,Perfect World Sticker Capsule 1,5.13
2020-08-07,CS20 Sticker Capsule,4.61
2020-08-07,Sticker Capsule,4.61
2020-08-07,Berlin 2019 Returning Challengers (Holo-Foil),18.3
2020-08-07,Perfect World Sticker Capsule 2,4.69
2020-08-07,Katowice 2019 Minor Challengers Autograph Capsule,20.6
2020-08-07,Boston 2018 Attending Legends Autograph Capsule,39.2
2020-08-07,"Warhammer 40,000 Sticker Capsule",4.71
2020-08-07,London 2018 Legends Autograph Capsule,33.08
2020-08-07,Collectible Pins Capsule Series 3,52.05
2020-08-07,Berlin 2019 Legends Autograph Capsule,10.59
2020-08-07,Berlin 2019 Legends (Holo-Foil),21.78
2020-08-07,Katowice 2019 Returning Challengers Autograph Capsule,30.75
2020-08-07,Pinups Capsule,4.85
2020-08-07,Berlin 2019 Returning Challengers Autograph Capsule,10.2
2020-08-07,Berlin 2019 Minor Challengers Autograph Capsule,7.98
2020-08-07,Chicken Capsule,5.03
2020-08-07,Boston 2018 Returning Challengers Autograph Capsule,54
2020-08-07,Boston 2018 Minor Challengers with Flash Gaming Autograph Capsule,50.29
2020-08-07,London 2018 Minor Challengers Autograph Capsule,19.29
2020-08-07,Krakow 2017 Challengers Autograph Capsule,77.6
2020-08-07,Feral Predators Capsule,4.67
2020-08-07,Community Capsule 2018,4.69
2020-08-07,Enfu Sticker Capsule,4.68
2020-08-07,Bestiary Capsule,4.92
2020-08-07,Slid3 Capsule,4.84
2020-08-07,Katowice 2019 Legends Autograph Capsule,31.6
2020-08-07,London 2018 Returning Challengers Autograph Capsule,21.8
2020-08-07,Half-Life: Alyx Collectible Pins Capsule,47.43
2020-08-07,Team Roles Capsule,4.67
2020-08-07,Sugarface Capsule,4.72
2020-08-07,Berlin 2019 Minor Challengers (Holo-Foil),14.4
2020-08-07,Autograph Capsule | Gambit Gaming | MLG Columbus 2016,22.92
2020-08-07,Autograph Capsule | Natus Vincere | Cologne 2015,16
2020-08-07,Autograph Capsule | mousesports | MLG Columbus 2016,28.34
2020-08-07,Autograph Capsule | Team SoloMid | Cluj-Napoca 2015,24.14
2020-08-07,Autograph Capsule | Flipsid3 Tactics | Atlanta 2017,31.9
2020-08-07,Collectible Pins Capsule Series 2,51.18
2020-08-07,Autograph Capsule | Team EnVyUs | Cologne 2015,30
2020-08-07,Collectible Pins Capsule Series 1,50.49
2020-08-07,Autograph Capsule | Fnatic | Cologne 2015,16.99
2020-08-07,Autograph Capsule | FaZe Clan | Atlanta 2017,30
2020-08-07,Autograph Capsule | Challengers (Foil) | MLG Columbus 2016,124.5
2020-08-07,Autograph Capsule | Ninjas in Pyjamas | Cluj-Napoca 2015,16.66
2020-08-07,Autograph Capsule | Legends (Foil) | Atlanta 2017,430
2020-08-07,Autograph Capsule | Team SoloMid | Cologne 2015,22.63
2020-08-07,Autograph Capsule | Cloud9 G2A | Cologne 2015,24
2020-08-07,Autograph Capsule | Team EnVyUs | Atlanta 2017,28.78
2020-08-07,Autograph Capsule | Natus Vincere | Atlanta 2017,181.28
2020-08-07,Autograph Capsule | Group B (Foil) | Cologne 2015,63.83
2020-08-07,Autograph Capsule | Titan | Cluj-Napoca 2015,33.04
2020-08-07,Autograph Capsule | mousesports | Cluj-Napoca 2015,68.8
2020-08-07,Autograph Capsule | Team EnVyUs | Cologne 2016,67.9
2020-08-07,Autograph Capsule | Challengers (Foil) | Cluj-Napoca 2015,140
2020-08-07,Autograph Capsule | Team Dignitas | Cluj-Napoca 2015,57.63
2020-08-07,Autograph Capsule | Fnatic | Cluj-Napoca 2015,23.33
2020-08-07,Autograph Capsule | Group D (Foil) | Cologne 2015,65.9
2020-08-07,Autograph Capsule | Team EnVyUs | MLG Columbus 2016,34.41
2020-08-07,Autograph Capsule | Counter Logic Gaming | MLG Columbus 2016,45
2020-08-07,Autograph Capsule | Ninjas in Pyjamas | Cologne 2015,15.99
2020-08-07,Autograph Capsule | Ninjas in Pyjamas | MLG Columbus 2016,29.99
2020-08-07,Autograph Capsule | Legends (Foil) | Cluj-Napoca 2015,97.7
2020-08-07,Autograph Capsule | Legends (Foil) | MLG Columbus 2016,99.48
2020-08-07,Autograph Capsule | Gambit Gaming | Atlanta 2017,24.7
2020-08-07,Autograph Capsule | Natus Vincere | MLG Columbus 2016,19.75
2020-08-07,Autograph Capsule | Fnatic | Atlanta 2017,38
2020-08-07,Autograph Capsule | Team Liquid | MLG Columbus 2016,49.89
2020-08-07,Autograph Capsule | Group C (Foil) | Cologne 2015,59.7
2020-08-07,Autograph Capsule | Titan | Cologne 2015,41.95
2020-08-07,Autograph Capsule | Team Liquid | Cologne 2016,76.4
2020-08-07,Autograph Capsule | GODSENT | Atlanta 2017,29.38
2020-08-07,Boston 2018 Minor Challengers Autograph Capsule,990
2020-08-07,Autograph Capsule | Team Immunity | Cologne 2015,25
2020-08-07,Autograph Capsule | OpTic Gaming | Atlanta 2017,26.8
2020-08-07,Autograph Capsule | OpTic Gaming | Cologne 2016,29.54
2020-08-07,Autograph Capsule | G2 Esports | MLG Columbus 2016,30
2020-08-07,Autograph Capsule | Fnatic | Cologne 2016,25.56
2020-08-07,Autograph Capsule | FaZe Clan | MLG Columbus 2016,19
2020-08-07,Autograph Capsule | Natus Vincere | Cologne 2016,27.84
2020-08-07,Autograph Capsule | Luminosity Gaming | MLG Columbus 2016,24.39
2020-08-07,Autograph Capsule | G2 Esports | Atlanta 2017,28.8
2020-08-07,Autograph Capsule | Team Liquid | Cluj-Napoca 2015,34
2020-08-07,Autograph Capsule | Team Kinguin | Cologne 2015,29
2020-08-07,Autograph Capsule | Challengers (Foil) | Atlanta 2017,260
2020-08-07,Autograph Capsule | Astralis | Atlanta 2017,50.4
2020-08-07,Autograph Capsule | Flipsid3 Tactics | Cluj-Napoca 2015,25.99
2020-08-07,Autograph Capsule | Astralis | MLG Columbus 2016,26.88
2020-08-07,Autograph Capsule | Virtus.Pro | Cluj-Napoca 2015,14
2020-08-07,Boston 2018 Legends Autograph Capsule,380
2020-08-07,Autograph Capsule | Team EnVyUs | Cluj-Napoca 2015,23.4
2020-08-07,Autograph Capsule | Cloud9 | Cluj-Napoca 2015,36.8
2020-08-07,Autograph Capsule | Group A (Foil) | Cologne 2015,74.8
2020-08-07,Autograph Capsule | G2 Esports | Cluj-Napoca 2015,13.5
2020-08-07,Autograph Capsule | Challengers (Foil) | Cologne 2016,203.9
2020-08-07,Autograph Capsule | Legends (Foil) | Cologne 2016,190
2020-08-07,Autograph Capsule | FaZe Clan | Cologne 2016,28
2020-08-07,Autograph Capsule | Team Liquid | Atlanta 2017,128
2020-08-07,Autograph Capsule | Flipsid3 Tactics | Cologne 2015,19.99
2020-08-07,Autograph Capsule | SK Gaming | Atlanta 2017,23
2020-08-07,Autograph Capsule | HellRaisers | Atlanta 2017,25
2020-08-07,Autograph Capsule | North | Atlanta 2017,25.6
2020-08-07,Autograph Capsule | Virtus.Pro | Cologne 2016,23.1
2020-08-07,Autograph Capsule | Virtus.Pro | Atlanta 2017,18.89
2020-08-07,Autograph Capsule | Counter Logic Gaming | Cologne 2015,19.7
2020-08-07,Autograph Capsule | Counter Logic Gaming | Cluj-Napoca 2015,19.49
2020-08-07,Autograph Capsule | mousesports | Atlanta 2017,29
2020-08-07,Autograph Capsule | Team Dignitas | Cologne 2016,29.9
2020-08-07,Autograph Capsule | Virtus.Pro | Cologne 2015,13.3
2020-08-07,Autograph Capsule | Team eBettle | Cologne 2015,18.88
2020-08-07,Autograph Capsule | Renegades | Cologne 2015,19.9
2020-08-07,Autograph Capsule | Ninjas in Pyjamas | Cologne 2016,26.66
2020-08-07,Autograph Capsule | Vexed Gaming | Cluj-Napoca 2015,23
2020-08-07,Autograph Capsule | mousesports | Cologne 2015,28.88
2020-08-07,Autograph Capsule | Fnatic | MLG Columbus 2016,20.3
2020-08-07,Autograph Capsule | Natus Vincere | Cluj-Napoca 2015,28
2020-08-07,Autograph Capsule | Luminosity Gaming | Cluj-Napoca 2015,41.5
2020-08-07,Autograph Capsule | Counter Logic Gaming | Cologne 2016,36.66
2020-08-07,Autograph Capsule | Astralis | Cologne 2016,71.83
2020-08-07,Autograph Capsule | Virtus.Pro | MLG Columbus 2016,17.48
