2020-09-05,Sticker Capsule,4.46
2020-09-05,Boston 2018 Returning Challengers Autograph Capsule,42.23
2020-09-05,Berlin 2019 Legends (Holo-Foil),15.82
2020-09-05,Sticker Capsule 2,55.9
2020-09-05,Katowice 2019 Legends Autograph Capsule,23
2020-09-05,Skill Groups Capsule,4.73
2020-09-05,Berlin 2019 Minor Challengers Autograph Capsule,6.22
2020-09-05,Community Sticker Capsule 1,22
2020-09-05,Pinups Capsule,4.79
2020-09-05,Halo Capsule,5.03
2020-09-05,Berlin 2019 Minor Challengers (Holo-Foil),12
2020-09-05,Autograph Capsule | Legends (Foil) | Atlanta 2017,299.92
2020-09-05,CS20 Sticker Capsule,4.6
2020-09-05,Sugarface Capsule,4.6
2020-09-05,Perfect World Sticker Capsule 1,4.73
2020-09-05,Katowice 2019 Returning Challengers Autograph Capsule,21.69
2020-09-05,Half-Life: Alyx Sticker Capsule,4.65
2020-09-05,Chicken Capsule,4.56
2020-09-05,Community Capsule 2018,4.65
2020-09-05,Berlin 2019 Legends Autograph Capsule,7.6
2020-09-05,Bestiary Capsule,4.66
2020-09-05,Feral Predators Capsule,4.78
2020-09-05,Collectible Pins Capsule Series 3,49.78
2020-09-05,Team Roles Capsule,4.7
2020-09-05,Slid3 Capsule,4.68
2020-09-05,Perfect World Sticker Capsule 2,4.66
2020-09-05,Enfu Sticker Capsule,4.97
2020-09-05,Berlin 2019 Returning Challengers Autograph Capsule,6.96
2020-09-05,Berlin 2019 Returning Challengers (Holo-Foil),14.75
2020-09-05,Autograph Capsule | Team Kinguin | Cologne 2015,17
2020-09-05,Autograph Capsule | Titan | Cluj-Napoca 2015,27.45
2020-09-05,Krakow 2017 Legends Autograph Capsule,80.99
2020-09-05,"Warhammer 40,000 Sticker Capsule",4.61
2020-09-05,Autograph Capsule | Flipsid3 Tactics | Cluj-Napoca 2015,25.98
2020-09-05,Autograph Capsule | mousesports | Cluj-Napoca 2015,68.49
2020-09-05,Autograph Capsule | G2 Esports | Cluj-Napoca 2015,16.47
2020-09-05,Autograph Capsule | mousesports | Cologne 2015,27.87
2020-09-05,Autograph Capsule | Luminosity Gaming | Cologne 2015,30.99
2020-09-05,Autograph Capsule | Group D (Foil) | Cologne 2015,88.04
2020-09-05,Autograph Capsule | Team EnVyUs | Cologne 2015,18.86
2020-09-05,Autograph Capsule | Ninjas in Pyjamas | Cologne 2015,11.89
2020-09-05,Autograph Capsule | Counter Logic Gaming | Cluj-Napoca 2015,16.99
2020-09-05,Autograph Capsule | Gambit Gaming | MLG Columbus 2016,22.91
