2020-08-06,Skill Groups Capsule,4.67
2020-08-06,Half-Life: Alyx Sticker Capsule,4.65
2020-08-06,Berlin 2019 Legends (Holo-Foil),21.96
2020-08-06,Sticker Capsule,4.75
2020-08-06,Collectible Pins Capsule Series 3,52.6
2020-08-06,Enfu Sticker Capsule,4.69
2020-08-06,Berlin 2019 Legends Autograph Capsule,11.57
2020-08-06,Halo Capsule,4.73
2020-08-06,Katowice 2019 Legends Autograph Capsule,30.8
2020-08-06,Sugarface Capsule,4.8
2020-08-06,Boston 2018 Returning Challengers Autograph Capsule,55.3
2020-08-06,Collectible Pins Capsule Series 2,51.84
2020-08-06,Berlin 2019 Minor Challengers (Holo-Foil),14.4
2020-08-06,Community Sticker Capsule 1,29
2020-08-06,Bestiary Capsule,4.68
2020-08-06,CS20 Sticker Capsule,4.63
2020-08-06,Pinups Capsule,4.69
2020-08-06,Feral Predators Capsule,4.74
2020-08-06,Berlin 2019 Returning Challengers Autograph Capsule,10.5
2020-08-06,Krakow 2017 Challengers Autograph Capsule,78.63
2020-08-06,Sticker Capsule 2,69.99
2020-08-06,Berlin 2019 Minor Challengers Autograph Capsule,8.14
2020-08-06,Perfect World Sticker Capsule 2,4.61
2020-08-06,Berlin 2019 Returning Challengers (Holo-Foil),18.34
2020-08-06,Community Capsule 2018,4.71
2020-08-06,Team Roles Capsule,4.68
2020-08-06,Slid3 Capsule,4.68
2020-08-06,Boston 2018 Minor Challengers with Flash Gaming Autograph Capsule,51.1
2020-08-06,Autograph Capsule | mousesports | Cluj-Napoca 2015,68.8
2020-08-06,Autograph Capsule | Team EnVyUs | Cologne 2016,67.9
2020-08-06,Autograph Capsule | Challengers (Foil) | Cluj-Napoca 2015,169.8
2020-08-06,Perfect World Sticker Capsule 1,4.65
2020-08-06,London 2018 Legends Autograph Capsule,33.55
2020-08-06,Autograph Capsule | Team Dignitas | Cluj-Napoca 2015,57.63
2020-08-06,Autograph Capsule | Fnatic | Cluj-Napoca 2015,23.33
2020-08-06,"Warhammer 40,000 Sticker Capsule",4.65
2020-08-06,Krakow 2017 Legends Autograph Capsule,97.2
2020-08-06,London 2018 Minor Challengers Autograph Capsule,20.08
2020-08-06,London 2018 Returning Challengers Autograph Capsule,22.49
2020-08-06,Autograph Capsule | Group D (Foil) | Cologne 2015,65.8
2020-08-06,Autograph Capsule | Group B (Foil) | Cologne 2015,69.85
2020-08-06,Chicken Capsule,5.04
2020-08-06,Half-Life: Alyx Collectible Pins Capsule,47.59
2020-08-06,Collectible Pins Capsule Series 1,50.9
2020-08-06,Katowice 2019 Returning Challengers Autograph Capsule,31.45
2020-08-06,Autograph Capsule | Team EnVyUs | MLG Columbus 2016,34.41
2020-08-06,Katowice 2019 Minor Challengers Autograph Capsule,22.49
2020-08-06,Boston 2018 Attending Legends Autograph Capsule,40
2020-08-06,Autograph Capsule | Counter Logic Gaming | MLG Columbus 2016,50
2020-08-06,Autograph Capsule | Ninjas in Pyjamas | Cologne 2015,14.78
2020-08-06,Autograph Capsule | Ninjas in Pyjamas | MLG Columbus 2016,29.99
2020-08-06,Autograph Capsule | Legends (Foil) | Cluj-Napoca 2015,97.8
2020-08-06,Autograph Capsule | Legends (Foil) | MLG Columbus 2016,99.48
2020-08-06,Autograph Capsule | Challengers (Foil) | MLG Columbus 2016,125
2020-08-06,Autograph Capsule | Gambit Gaming | Atlanta 2017,24.9
2020-08-06,Autograph Capsule | Natus Vincere | MLG Columbus 2016,19.75
2020-08-06,Autograph Capsule | Natus Vincere | Cologne 2015,20.2
2020-08-06,Autograph Capsule | Fnatic | Atlanta 2017,38
2020-08-06,Autograph Capsule | Team Liquid | MLG Columbus 2016,49.89
2020-08-06,Autograph Capsule | Team EnVyUs | Atlanta 2017,28.88
2020-08-06,Autograph Capsule | Group C (Foil) | Cologne 2015,59.9
2020-08-06,Autograph Capsule | Titan | Cologne 2015,42.35
2020-08-06,Autograph Capsule | Team Liquid | Cologne 2016,76.65
2020-08-06,Autograph Capsule | Cloud9 G2A | Cologne 2015,25
2020-08-06,Autograph Capsule | FaZe Clan | Atlanta 2017,28.8
2020-08-06,Autograph Capsule | GODSENT | Atlanta 2017,29.38
2020-08-06,Boston 2018 Minor Challengers Autograph Capsule,999
2020-08-06,Autograph Capsule | Team Immunity | Cologne 2015,25
2020-08-06,Autograph Capsule | Team EnVyUs | Cologne 2015,35.74
2020-08-06,Autograph Capsule | Fnatic | Cologne 2015,17
2020-08-06,Autograph Capsule | OpTic Gaming | Atlanta 2017,26.9
2020-08-06,Autograph Capsule | OpTic Gaming | Cologne 2016,29.54
2020-08-06,Autograph Capsule | G2 Esports | MLG Columbus 2016,30
2020-08-06,Autograph Capsule | Fnatic | Cologne 2016,25.46
2020-08-06,Autograph Capsule | FaZe Clan | MLG Columbus 2016,19
2020-08-06,Autograph Capsule | Natus Vincere | Cologne 2016,27.84
2020-08-06,Autograph Capsule | Luminosity Gaming | MLG Columbus 2016,24.39
2020-08-06,Autograph Capsule | Legends (Foil) | Atlanta 2017,437.5
2020-08-06,Autograph Capsule | G2 Esports | Atlanta 2017,29.1
2020-08-06,Autograph Capsule | Team Liquid | Cluj-Napoca 2015,34
2020-08-06,Autograph Capsule | Team Kinguin | Cologne 2015,28
2020-08-06,Autograph Capsule | Challengers (Foil) | Atlanta 2017,260
2020-08-06,Autograph Capsule | Astralis | Atlanta 2017,52.36
2020-08-06,Autograph Capsule | Flipsid3 Tactics | Cluj-Napoca 2015,25.99
2020-08-06,Autograph Capsule | Titan | Cluj-Napoca 2015,33.14
2020-08-06,Autograph Capsule | Team SoloMid | Cluj-Napoca 2015,24.4
2020-08-06,Autograph Capsule | Astralis | MLG Columbus 2016,26.88
2020-08-06,Autograph Capsule | Virtus.Pro | Cluj-Napoca 2015,14
2020-08-06,Autograph Capsule | Team SoloMid | Cologne 2015,22.54
2020-08-06,Boston 2018 Legends Autograph Capsule,380
2020-08-06,Autograph Capsule | Team EnVyUs | Cluj-Napoca 2015,23.4
2020-08-06,Autograph Capsule | Cloud9 | Cluj-Napoca 2015,36.8
2020-08-06,Autograph Capsule | Group A (Foil) | Cologne 2015,74.9
2020-08-06,Autograph Capsule | G2 Esports | Cluj-Napoca 2015,13.5
2020-08-06,Autograph Capsule | Challengers (Foil) | Cologne 2016,203.95
2020-08-06,Autograph Capsule | Legends (Foil) | Cologne 2016,190
2020-08-06,Autograph Capsule | FaZe Clan | Cologne 2016,28
2020-08-06,Autograph Capsule | Gambit Gaming | MLG Columbus 2016,23.22
2020-08-06,Autograph Capsule | Team Liquid | Atlanta 2017,128
2020-08-06,Autograph Capsule | Ninjas in Pyjamas | Cluj-Napoca 2015,14.48
2020-08-06,Autograph Capsule | Natus Vincere | Atlanta 2017,181.28
2020-08-06,Autograph Capsule | Flipsid3 Tactics | Cologne 2015,19.99
2020-08-06,Autograph Capsule | SK Gaming | Atlanta 2017,22.9
2020-08-06,Autograph Capsule | HellRaisers | Atlanta 2017,25
2020-08-06,Autograph Capsule | Virtus.Pro | Cologne 2016,23.2
2020-08-06,Autograph Capsule | Virtus.Pro | Atlanta 2017,18.99
2020-08-06,Autograph Capsule | Counter Logic Gaming | Cologne 2015,19.7
2020-08-06,Autograph Capsule | Counter Logic Gaming | Cluj-Napoca 2015,19.49
2020-08-06,Autograph Capsule | SK Gaming | Cologne 2016,21.03
2020-08-06,Autograph Capsule | North | Atlanta 2017,19
2020-08-06,Autograph Capsule | Flipsid3 Tactics | Atlanta 2017,32
2020-08-06,Autograph Capsule | mousesports | Atlanta 2017,29
2020-08-06,Autograph Capsule | Team Dignitas | Cologne 2016,30
2020-08-06,Autograph Capsule | mousesports | MLG Columbus 2016,36.66
2020-08-06,Autograph Capsule | Virtus.Pro | Cologne 2015,13.4
2020-08-06,Autograph Capsule | Team eBettle | Cologne 2015,18.88
2020-08-06,Autograph Capsule | Renegades | Cologne 2015,19.9
2020-08-06,Autograph Capsule | Ninjas in Pyjamas | Cologne 2016,26.66
2020-08-06,Autograph Capsule | Vexed Gaming | Cluj-Napoca 2015,19.79
2020-08-06,Autograph Capsule | mousesports | Cologne 2015,28.88
2020-08-06,Autograph Capsule | Fnatic | MLG Columbus 2016,20.3
2020-08-06,Autograph Capsule | Natus Vincere | Cluj-Napoca 2015,28
2020-08-06,Autograph Capsule | Luminosity Gaming | Cluj-Napoca 2015,41.5
2020-08-06,Autograph Capsule | Counter Logic Gaming | Cologne 2016,36.66
2020-08-06,Autograph Capsule | Astralis | Cologne 2016,71.83
2020-08-06,Autograph Capsule | Virtus.Pro | MLG Columbus 2016,16
2020-08-06,Autograph Capsule | Flipsid3 Tactics | Cologne 2016,24.88
